verbose,epochs,replay_rate,threshold,save_to_file,num_centers,lamb,select_sample,conditional_train,conditional_prediction,same_initial,Task 0,Task 1,Task 2,Task 3,Task 4,Average
False,20,0.2,,mnist_replay.csv,1,,False,False,True,False,0.9938534278959811,0.7095984329089128,0.9082177161152615,0.7079556898288016,0.9742813918305597,0.8587813317159034
False,20,0.2,,mnist_replay.csv,1,1,False,False,True,True,0.9919621749408983,0.7409402546523016,0.8927427961579509,0.5699899295065458,0.978315683308119,0.8347901677131631
False,20,0.2,,mnist_replay.csv,1,1,False,False,True,False,0.991016548463357,0.8050930460333007,0.7342582710779082,0.6827794561933535,0.9692385274836107,0.836477169850306
False,20,0.2,,mnist_replay.csv,1,2,False,False,True,True,0.9919621749408983,0.578354554358472,0.7305229455709712,0.7668680765357503,0.9798285426122038,0.8095072588036591
False,20,0.2,,mnist_replay.csv,1,2,False,False,True,False,0.9891252955082742,0.871694417238002,0.8644610458911419,0.932527693856999,0.9808371154815936,0.9277291135952022
False,20,0.2,,mnist_replay.csv,4,,False,False,True,True,0.9929078014184397,0.4877571008814887,0.5176093916755603,0.5891238670694864,0.9697428139183056,0.7114281949926562
False,20,0.2,,mnist_replay.csv,4,,False,False,True,False,0.9933806146572104,0.4853085210577865,0.5016008537886874,0.40735146022155083,0.9606656580937972,0.6696614215638065
False,20,0.2,,mnist_replay.csv,4,1,False,False,True,True,0.9933806146572104,0.7360430950048972,0.6846318036286019,0.8116817724068479,0.9702471003530005,0.8391968772101116
False,20,0.2,,mnist_replay.csv,4,1,False,False,True,False,0.9938534278959811,0.6356513222331048,0.7161152614727855,0.6092648539778449,0.9702471003530005,0.7850263931865433
False,20,0.2,,mnist_replay.csv,4,2,False,False,True,True,0.9919621749408983,0.5646425073457395,0.6296691568836713,0.5689828801611279,0.9778113968734241,0.7466136232409722
False,20,0.1,,mnist_replay.csv,1,,False,False,True,True,0.9777777777777777,0.5088148873653281,0.8575240128068303,0.676233635448137,0.9803328290468987,0.8001366284889944
False,20,0.1,,mnist_replay.csv,1,,False,False,True,False,0.9881796690307328,0.7938295788442703,0.3847385272145144,0.8690835850956697,0.978315683308119,0.8028294086986613
False,20,0.1,,mnist_replay.csv,1,1,False,False,True,True,0.9825059101654846,0.5656219392752204,0.7534685165421559,0.5221550855991943,0.9838628340897629,0.7615228571343635
False,20,0.1,,mnist_replay.csv,1,1,False,False,True,False,0.9791962174940898,0.5107737512242899,0.6568836712913554,0.7824773413897281,0.9768028240040343,0.7812267610806994
False,20,0.1,,mnist_replay.csv,1,2,False,False,True,True,0.9815602836879432,0.9231145935357493,0.5181430096051227,0.9023162134944612,0.9747856782652546,0.8599839557177061
False,20,0.1,,mnist_replay.csv,1,2,False,False,True,False,0.9810874704491725,0.618511263467189,0.5565635005336179,0.8272910372608258,0.9808371154815936,0.7928580774384798
False,20,0.1,,mnist_replay.csv,4,,False,False,True,True,0.9810874704491725,0.5719882468168462,0.6259338313767343,0.8610271903323263,0.9798285426122038,0.8039730563174567
False,20,0.1,,mnist_replay.csv,4,,False,False,True,False,0.9768321513002364,0.6787463271302644,0.7790821771611526,0.40483383685800606,0.9798285426122038,0.7638646070123727
False,20,0.1,,mnist_replay.csv,4,1,False,False,True,True,0.9810874704491725,0.6762977473065622,0.5885805763073639,0.8806646525679759,0.9823499747856783,0.8217960842833506
False,20,0.1,,mnist_replay.csv,4,1,False,False,True,False,0.9877068557919622,0.5538687561214496,0.8297758804695837,0.9138972809667674,0.9828542612203732,0.8536206069140272
False,20,0.1,,mnist_replay.csv,4,2,False,False,True,True,0.9862884160756501,0.5905974534769833,0.5576307363927427,0.6238670694864048,0.9793242561775088,0.747541586321858
False,20,0.1,,mnist_replay.csv,4,2,False,False,True,False,0.9810874704491725,0.5896180215475024,0.7652081109925294,0.6923464249748238,0.9828542612203732,0.8022228578368804
False,20,0.2,,mnist_replay.csv,1,,False,False,True,True,0.9905437352245863,0.6297747306562194,0.5277481323372465,0.8298086606243706,0.983358547655068,0.7922467612994981
False,20,0.2,,mnist_replay.csv,1,,False,False,True,False,0.9919621749408983,0.7350636630754163,0.5864461045891142,0.8877139979859013,0.9813414019162885,0.8365054685015236
False,20,0.2,,mnist_replay.csv,1,1,False,False,True,True,0.9914893617021276,0.7037218413320274,0.7860192102454643,0.6596173212487412,0.9793242561775088,0.8240343981411739
False,20,0.2,,mnist_replay.csv,1,1,False,False,True,False,0.9900709219858156,0.5886385896180215,0.6446104589114194,0.4395770392749245,0.9798285426122038,0.728545110480477
False,20,0.2,,mnist_replay.csv,1,2,False,False,True,True,0.9862884160756501,0.6542605288932419,0.27321237993596587,0.5589123867069486,0.9843671205244579,0.6914081664272528
False,20,0.2,,mnist_replay.csv,1,2,False,False,True,False,0.9881796690307328,0.6679725759059746,0.6931696905016008,0.594662638469285,0.978315683308119,0.7844600514431426
False,20,0.2,,mnist_replay.csv,4,,False,False,True,True,0.9905437352245863,0.4666993143976494,0.6915688367129136,0.7039274924471299,0.9788199697428139,0.7663118697050187
False,20,0.2,,mnist_replay.csv,4,,False,False,True,False,0.9914893617021276,0.747796278158668,0.7833511205976521,0.4420946626384693,0.9672213817448311,0.7863905609683497
False,20,0.2,,mnist_replay.csv,4,1,False,False,True,True,0.9905437352245863,0.6356513222331048,0.6456776947705443,0.5654582074521651,0.9762985375693394,0.762725899449948
False,20,0.2,,mnist_replay.csv,4,1,False,False,True,False,0.9886524822695035,0.6562193927522038,0.736392742796158,0.5443101711983888,0.9747856782652546,0.7800720934563017
False,20,0.2,,mnist_replay.csv,4,2,False,False,True,True,0.9891252955082742,0.545543584720862,0.6488794023479189,0.5558912386706949,0.9788199697428139,0.7436518981981127
False,20,0.2,,mnist_replay.csv,4,2,False,False,True,False,0.9905437352245863,0.7135161606268364,0.4263607257203842,0.6304128902316214,0.9717599596570852,0.7465186942921027
False,20,0.1,,mnist_replay.csv,1,,False,False,True,True,0.9957446808510638,0.6464250734573947,0.7668089647812166,0.9103726082578046,0.44528492183560264,0.7529272498366165
False,20,0.1,,mnist_replay.csv,1,,False,False,True,False,0.9957446808510638,0.4632713026444662,0.5218783351120597,0.9038267875125882,0.1442259203227433,0.6057894052885843
False,20,0.1,,mnist_replay.csv,1,1,False,False,True,True,0.9962174940898345,0.7561214495592556,0.7998932764140875,0.6681772406847936,0.5057992939989914,0.7452417509493925
False,20,0.1,,mnist_replay.csv,1,1,False,False,True,False,0.9957446808510638,0.732615083251714,0.7518676627534685,0.8992950654582075,0.4074634392334846,0.7573971863095876
False,20,0.1,,mnist_replay.csv,1,2,False,False,True,True,0.9952718676122931,0.6753183153770813,0.8409818569903948,0.675730110775428,0.362077660110943,0.7098759621732281
False,20,0.1,,mnist_replay.csv,1,2,False,False,True,False,0.9962174940898345,0.7644466209598433,0.7091782283884739,0.39375629405840884,0.329803328290469,0.6386803931574059
False,20,0.1,,mnist_replay.csv,4,,False,False,True,True,0.9938534278959811,0.6390793339862879,0.46851654215581645,0.9128902316213494,0.46747352496217853,0.6963626121243227
False,20,0.1,,mnist_replay.csv,4,,False,False,True,False,0.9929078014184397,0.4813907933398629,0.8820704375667022,0.8811681772406847,0.25012607160867373,0.6975326562348727
False,20,0.1,,mnist_replay.csv,4,1,False,False,True,True,0.9929078014184397,0.7091087169441724,0.8169690501600854,0.6973816717019133,0.5073121533030761,0.7447358787055374
