verbose,epochs,replay_rate,threshold,save_to_file,num_centers,lamb,select_sample,conditional_train,conditional_prediction,same_initial,Task 0,Task 1,Task 2,Task 3,Task 4,Average
False,20,0.1,,mnist_contitonal_all.csv,1,2,True,False,True,True,0.948936170212766,0.8486777668952008,0.8281750266808965,0.8932527693856999,0.9798285426122038,0.8997740551573534
False,20,0.1,,mnist_contitonal_all.csv,1,2,True,False,True,False,0.9314420803782506,0.8780607247796278,0.8847385272145144,0.9355488418932527,0.9672213817448311,0.9194023112020953
False,20,0.1,,mnist_contitonal_all.csv,1,2,False,False,True,True,0.9697399527186761,0.9128305582761999,0.928495197438634,0.9511581067472307,0.9778113968734241,0.948007042410833
False,20,0.1,,mnist_contitonal_all.csv,1,2,False,False,True,False,0.9763593380614657,0.9289911851126347,0.9119530416221985,0.9516616314199395,0.9717599596570852,0.9481450311746646
False,20,0.1,,mnist_contitonal_all.csv,2,,True,False,True,True,0.9678486997635933,0.885896180215475,0.812700106723586,0.9476334340382678,0.9732728189611699,0.9174702479404184
False,20,0.1,,mnist_contitonal_all.csv,2,,True,False,True,False,0.9286052009456265,0.8976493633692458,0.7961579509071505,0.9441087613293051,0.9742813918305597,0.9081605336763774
False,20,0.1,,mnist_contitonal_all.csv,2,,False,False,True,True,0.9697399527186761,0.925073457394711,0.9178228388473852,0.9662638469284995,0.9768028240040343,0.9511405839786612
False,20,0.1,,mnist_contitonal_all.csv,2,,False,False,True,False,0.968321513002364,0.9299706170421156,0.9103521878335112,0.9431017119838873,0.9768028240040343,0.9457097707731824
False,20,0.1,,mnist_contitonal_all.csv,2,1,True,False,True,True,0.968321513002364,0.866307541625857,0.7908217716115261,0.9511581067472307,0.9737771053958648,0.9100772076765684
False,20,0.1,,mnist_contitonal_all.csv,2,1,True,False,True,False,0.9763593380614657,0.9177277179236043,0.8463180362860192,0.9431017119838873,0.9757942511346445,0.9318602110779242
False,20,0.1,,mnist_contitonal_all.csv,2,1,False,False,True,True,0.9702127659574468,0.9167482859941234,0.9135538954108858,0.9612286002014099,0.9737771053958648,0.947104130591946
False,20,0.1,,mnist_contitonal_all.csv,2,1,False,False,True,False,0.9716312056737588,0.9285014691478942,0.9332977588046958,0.9617321248741189,0.9752899646999496,0.9540905046400834
False,20,0.1,,mnist_contitonal_all.csv,2,2,True,False,True,True,0.9281323877068558,0.9123408423114594,0.8233724653148345,0.9602215508559919,0.9702471003530005,0.9188628693084284
False,20,0.1,,mnist_contitonal_all.csv,2,2,True,False,True,False,0.968321513002364,0.9049951028403526,0.8527214514407684,0.9144008056394763,0.9803328290468987,0.9241543403939719
False,20,0.1,,mnist_contitonal_all.csv,2,2,False,False,True,True,0.9659574468085106,0.925073457394711,0.9194236926360726,0.9617321248741189,0.9773071104387292,0.9498987664304284
False,20,0.1,,mnist_contitonal_all.csv,2,2,False,False,True,False,0.9607565011820332,0.9128305582761999,0.9119530416221985,0.9531722054380665,0.9773071104387292,0.9432038833914455
False,20,0.1,,mnist_contitonal_all.csv,4,,True,False,True,True,0.9234042553191489,0.9030362389813908,0.7934898612593383,0.9551863041289023,0.9778113968734241,0.9105856113124409
False,20,0.1,,mnist_contitonal_all.csv,4,,True,False,True,False,0.9442080378250591,0.8638589618021547,0.8014941302027748,0.8987915407854985,0.9798285426122038,0.8976362426455381
False,20,0.1,,mnist_contitonal_all.csv,4,,False,False,True,True,0.9687943262411347,0.9211557296767875,0.935965848452508,0.9612286002014099,0.9762985375693394,0.9526886084282358
False,20,0.1,,mnist_contitonal_all.csv,4,,False,False,True,False,0.9678486997635933,0.9162585700293829,0.9172892209178228,0.9531722054380665,0.978315683308119,0.9465768758913968
False,20,0.1,,mnist_contitonal_all.csv,4,1,True,False,True,True,0.966903073286052,0.871694417238002,0.7668089647812166,0.9088620342396777,0.9773071104387292,0.8983151199967354
False,20,0.1,,mnist_contitonal_all.csv,4,1,True,False,True,False,0.9560283687943263,0.9280117531831538,0.8089647812166488,0.8982880161127895,0.972768532526475,0.9128122903666787
False,20,0.1,,mnist_contitonal_all.csv,4,1,False,False,True,True,0.9706855791962175,0.9162585700293829,0.9332977588046958,0.9617321248741189,0.9778113968734241,0.9519570859555678
False,20,0.1,,mnist_contitonal_all.csv,4,1,False,False,True,False,0.9588652482269504,0.8824681684622919,0.9034151547491995,0.9617321248741189,0.9717599596570852,0.9356481311939291
False,20,0.1,,mnist_contitonal_all.csv,4,2,True,False,True,True,0.9697399527186761,0.8903036238981391,0.7844183564567769,0.9244712990936556,0.9798285426122038,0.9097523549558904
False,20,0.1,,mnist_contitonal_all.csv,4,2,True,False,True,False,0.9215130023640662,0.866307541625857,0.8463180362860192,0.9219536757301108,0.9768028240040343,0.9065790160020175
False,20,0.1,,mnist_contitonal_all.csv,4,2,False,False,True,True,0.9721040189125295,0.925073457394711,0.924759871931697,0.9622356495468278,0.9707513867876955,0.950984876914692
